"","con1","con2","con3","con4","con5","con6","case1","case2","case3","case4","case5","case6"
"M123",13.387,12.482,13.911,10.225,12.859,9.428,9.267,8.562,9.736,9.897,10.787,12.407
"M124",9.482,9.961,13.204,13.535,13.698,11.545,10.595,10.105,10.031,12.013,13.288,10.639
"M125",12.634,10.82,11.828,11.864,10.831,10.218,12.664,10.999,12.756,9.071,13.9,12.957
"M126",11.26,12.962,13.764,12.35,12.778,13.991,12.001,12.16,10.19,9.902,9.681,11.793
"M127",11.998,12.178,12.462,13.531,13.64,11.203,13.915,11.6,12.882,10.362,10.708,10.534
"M128",11.471,12.741,11.905,9.914,12.675,13.759,13.068,9.43,13.133,8.598,12.305,11.936
"M129",14.022,13.341,11.021,13.049,12.032,11.441,13.447,11.024,13.249,12.148,10.775,10.386
"M130",9.825,8.776,13.097,10.495,12.278,13.024,14.86,13.13,13.184,12.285,10.42,11.312
"M131",15.66,10.604,12.918,10.574,10.031,11.66,12.5,13.273,11.216,13.432,9.143,13.209
"M132",10.542,15.538,13.268,12.191,12.129,13.657,14.304,12.707,10.444,14.996,10.851,11.468
"M133",10.105,7.608,9.929,12.208,10.905,13.567,11.059,12.56,11.556,12.093,11.398,10.683
"M134",11.81,11.306,12.806,10.8,12.43,11.466,12.747,12.412,9.893,10.842,10.678,12.889
"M135",12.771,11.883,9.691,9.896,11.645,13.419,11.522,11.478,11.636,14.5,14.342,13.422
"M136",13.029,10.304,10.665,11.446,9.76,12.022,12.46,13.201,9.869,13.959,10.074,10.306
"M137",12.707,11.787,12.245,11.41,11.907,12.134,7.769,12.863,13.21,12.921,12.992,11.011
"M138",11.992,12.494,11.304,15.657,11.626,11.845,10.905,13.063,11.946,9.728,12.371,12.889
"M139",12.587,12.282,12.346,12.657,9.465,10.835,9.571,9.397,9.477,7.924,9.965,8.594
"M140",13.448,13.572,10.811,13.595,12.018,11.585,13.798,13.596,13.696,15.3,12.568,12.435
"M141",12.634,14.893,7.735,13.615,13.036,14.492,9.442,9.261,14.005,9.388,11.984,12.078
"M142",13.802,11.588,12.781,13.235,9.824,13.185,9.94,7.185,8.883,10.749,8.059,8.939
"M143",16.074,12.049,13.569,12.62,11.816,13.287,11.783,11.819,11.487,12.57,13.124,11.695
"M144",12.679,11.105,14.96,12.525,13.457,10.071,8.281,9.094,6.897,13.344,11.926,8.435
"M145",13.11,12.633,15.333,11.016,10.636,9.716,9.977,10.999,12.454,13.235,10.498,10.93
"M146",14.143,16.448,12.197,13.327,12.614,15.324,10.923,9.932,11.732,10.889,9.313,11.738
"M147",12.549,12.09,10.098,13.053,11.801,11.008,13.538,12.946,13.212,14.096,12.232,10.081
"M148",13.906,10.824,11.977,8.917,11.953,14.062,11.916,12.637,11.886,15.853,14.291,12.113
"M149",13.589,12.352,12.973,10.712,11.019,12.995,14.817,13.759,11.84,12.777,13.384,11.57
"M150",12.566,10.772,10.884,9.281,13.11,12.768,10.292,7.836,8.923,9.753,9.774,8.97
"M151",11.628,10.982,13.036,13.652,12.534,11.976,10.465,12.692,11.554,12.03,12.245,13.4
"M152",12.911,13.876,10.498,11.822,10.3,12.094,11.194,15.106,14.679,14.749,16.402,13.44
"M153",11.187,13.405,11.022,12.846,11.305,10.083,13.203,15.276,9.994,13.116,11.024,13.026
"M154",11.966,15.644,13.928,9.552,11.355,13.126,11.423,13.619,13.263,10.008,13.577,11.244
"M155",11.047,9.86,14.311,12.237,14.005,9.746,13.078,11.387,10.231,9.639,11.62,12.705
"M156",13.732,13.099,13.633,14.951,9.844,12.639,14.552,12.541,15.238,11.213,12.246,12.793
"M157",11.747,10.98,9.941,10.399,10.916,13.479,12.708,12.225,10.668,13.254,10.869,12.351
"M158",17.682,10.11,13.46,12.791,10.685,12.418,11.325,14.576,12.318,12.827,9.885,12.893
"M159",13.284,12.149,10.658,13.448,13.674,10.708,12.857,13.216,12.419,13.538,10.877,11.952
"M160",13.448,12.033,13.004,9.495,15.365,10.909,13.099,10.723,14.199,11.093,11.724,14.62
"M161",12.477,12.826,10.739,12.817,12.345,14.24,9.603,12.517,8.849,9.115,12.908,12.573
"M162",10.526,11.603,11.233,12.745,12.386,13.631,13.162,12.268,12.842,15.673,11.837,12.976
"M163",12.953,13.026,12.282,11.694,9.929,11.44,13.294,14.437,10.482,14.3,13.865,14.555
"M164",9.074,11.139,11.845,14.151,10.268,12.4,10.814,13.366,13.259,10.297,12.28,13.197
"M165",12.408,11.66,10.611,12.315,14.229,10.043,12.394,10.547,11.756,13.193,12.912,12.031
"M166",9.899,10.862,11.826,11.633,13.567,12.073,13.098,12.894,14.592,13.29,12.876,13.543
"M167",11.934,15.432,12.753,11.858,14.123,10.76,10.981,12.87,12.574,10.57,9.433,13.458
"M168",12.992,14.885,13.24,10.36,10.59,15.121,10.985,12.319,10.772,10.717,12.934,10.329
"M169",13.888,10.832,14.892,12.921,13.312,12.908,13.39,11.977,15.589,13.151,14.293,13.53
"M170",12.784,12.81,13.552,11.321,13.556,10.604,12.333,10.096,13.316,13.555,12.854,15.619
"M171",12.179,11.901,10.315,12.124,12.955,12.558,12.438,12.332,14.154,15.898,11.898,16.205
"M172",13.997,13.033,12.71,12.741,10.141,14.809,13.197,14.04,14.306,13.094,12.646,14.726
"M173",13.058,12.07,12.463,12.046,11.617,12.066,12.066,12.035,12.899,11.379,14.439,14.05
"M174",11.531,10.452,12.613,9.727,13.646,14.24,12.395,14.681,11.385,12.421,12.411,9.891
"M175",11.889,11.632,13.153,13.193,13.841,10.78,9.703,16.032,11.648,13.597,11.286,12.235
"M176",11.692,10.079,13.467,11.213,13.232,10.367,10.758,13.885,8.147,10.126,9.708,9.826
"M177",9.983,9.517,13.019,10.792,10.357,11.578,13.647,9.402,11.895,13.724,9.879,10.225
"M178",13.566,12.212,13.007,11.434,12.852,13.839,14.193,12.612,10.246,7.897,9.928,13.932
"M179",11.181,13.083,10.459,10.739,11.853,15.548,15.278,11.625,11.874,15.062,11.635,11.845
"M180",12.269,12.576,8.476,12.777,10.946,11.681,10.315,12.093,13.22,9.244,12.539,10.328
"M181",13.205,13.237,13.202,12.835,12.589,12.319,11.454,11.983,13.049,12.39,12.832,12.15
"M182",11.136,12.605,13.125,11.823,13.642,12.336,13.224,11.347,11.799,8.972,10.457,12.242
"M183",10.42,13.83,11.401,11.574,11.163,11.251,9.918,13.547,12.164,11.869,14.94,12.085
"M184",9.535,8.932,11.871,12.533,11.84,11.924,10.695,12.471,12.123,12.814,10.299,12.546
"M185",10.334,12.411,10.968,10.245,9.885,14.651,12.575,13.522,10.33,8.892,10.607,13.381
"M186",12.87,15.443,12.726,11.194,11.894,10.479,12.194,12.436,13.933,12.399,13.229,12.216
"M187",12.731,12.891,10.318,10.295,11.819,10.172,13.619,12.986,12.111,14.025,11.673,10.903
"M188",12.975,9.949,11.363,11.576,10.795,11.975,11.566,11.845,13.83,8.725,10.308,13.81
"M189",11.251,9.323,12.031,12.594,11.94,11.561,10.069,12.374,12.266,12.494,13.246,13.827
"M190",12.514,13.783,12.951,12.49,9.842,11.722,13.546,11.816,11.79,12.721,9.516,14.385
"M191",12.152,12.196,12.489,11.679,12.005,9.738,12.572,12.318,13.602,8.556,14.015,12.024
"M192",10.972,13.479,13.157,13.012,12.994,10.729,8.512,10.684,9.63,9.28,9.086,9.25
"M193",12.194,11.766,14.848,10.059,12.921,11.758,12.377,12.798,9.056,13.357,12.106,11.893
"M194",10.215,9.297,11.102,14.192,11.11,10.622,14.029,12.229,11.669,11.561,12.647,13.279
"M195",11.222,15.055,11.57,9.077,12.398,13.935,11.869,9.244,9.787,14.161,7.087,11.018
"M196",12.456,11.212,10.821,12.529,10.593,12.075,11.114,12.719,12.179,13.679,14.886,11.895
"M197",12.939,13.643,10.719,10.688,11.856,8.625,11.975,10.965,12.64,12.192,12.267,12.322
"M198",11.924,10.247,17.015,15.328,17.154,13.514,13.519,16.606,14.78,11.923,13.585,12.047
"M199",12.186,9.775,11.837,10.305,13.78,14.763,13.203,10.089,11.874,14.8,11.93,10.585
"M200",12.664,9.977,9.429,13.338,12.803,12.14,12.76,14.873,11.878,11.261,11.167,12.605
