"","con1","con2","con3","con4","con5","con6","case1","case2","case3","case4","case5","case6"
"PROT85",18.39,18.072,24.546,24.004,18.134,21.351,17.441,20.69,20.519,18.345,20.719,21.243
"PROT86",20.126,17.648,21.665,23.282,21.284,20.861,18.143,21.621,19.851,21.45,20.509,19.649
"PROT87",15.45,20.573,20.487,16.564,20.366,14.955,16.318,21.173,18.779,21.138,18.858,23.453
"PROT88",19.452,20.728,19.967,19.349,18.318,20.536,15.733,19.575,22.638,18.187,19.142,23.275
"PROT89",20.045,20.443,17.869,16.078,15.507,21.574,21.973,18.18,18.683,20.372,18.936,20.147
"PROT90",23.628,19.525,21.118,20.832,21.123,17.153,19.805,19.96,21.259,18.023,18.906,23.153
"PROT91",21.231,19.525,20.086,20.245,21.076,18.59,19.71,18.26,19.799,21.975,25.883,17.091
"PROT92",19.815,20.488,23.15,18.963,20.478,17.351,19.393,22.122,21.828,21.878,15.573,25.254
"PROT93",22.05,20.674,21.289,16.42,18.954,20.709,19.884,23.014,20.406,21.169,22.342,15.402
"PROT94",20.592,17.603,18.448,18.577,19.674,19.909,21.048,23.983,20.432,24.324,21.604,22.157
"PROT95",21.629,23.111,18.199,22.393,20.013,22.077,18.61,17.597,16.663,18.346,16.406,16.924
"PROT96",18.975,17.173,22.354,16.248,20.871,19.646,21.847,21.437,22.2,23.1,22.498,24.053
"PROT97",21.734,17.459,20.864,17.917,22.971,21.303,20.812,20.429,17.329,20.756,19.237,21.37
"PROT98",21.337,17.178,19.058,20.179,20.852,19.015,20.19,17.507,18.723,19.679,20.777,17.046
"PROT99",21.868,23.947,18.708,22.236,21.335,20.548,18.977,19.879,22.975,18.799,22.593,25.011
"PROT100",19.757,21.056,16.413,18.717,21.62,17.392,21.396,17.25,16.785,20.743,21.99,21.699
"PROT101",22.08,19.968,20.886,13.519,19.207,17.374,21.957,18.259,16.219,17.132,19.202,17.103
"PROT102",17.675,18.424,20.742,25.226,19.427,18.995,19.692,17.468,19.935,21.166,21.088,21.432
"PROT103",17.896,19.957,23.069,17.88,21.579,20.716,19.52,20.998,20.03,19.723,20.261,19.246
"PROT104",19.104,19.105,23.589,22.926,21.141,22.2,21.057,19.72,17.804,22.854,22.147,21.985
"PROT105",22.464,23.279,17.593,17.965,19.063,18.4,17.355,19.349,16.962,22.051,22.03,18.973
"PROT106",21.875,20.887,19.503,20.385,20.9,18.851,20.507,20.145,21.735,22.051,17.896,20.483
"PROT107",21.969,16.965,18.264,18.582,22.514,18.926,20.214,20.784,19.102,20.722,21.85,19.509
"PROT108",19.023,17.432,20.27,19.87,20.475,22.051,22.843,19.288,20.845,20.479,22.776,19.518
"PROT109",22.327,21.527,22.682,19.642,20.268,21.31,20.029,22.469,21.97,20.593,18.416,20.331
"PROT110",19.992,18.054,19.696,17.071,21.64,18.958,22.018,21.616,24.977,27.246,22.355,20.569
"PROT111",18.446,20.364,20.819,19.734,22.479,19.426,19.351,21.597,19.215,20.061,18.834,23.596
"PROT112",18.361,18.906,25.745,19.915,19.059,22.016,21.115,21.915,20.957,21.424,21.793,21.472
"PROT113",20.214,19.591,18.674,21.678,22.444,20.78,16.382,18.306,17.976,17.734,21.915,15.265
"PROT114",23.852,20.3,19.91,18.471,21.594,23.743,21.771,20.35,18.425,22.801,21.502,17.297
"PROT115",21.272,22.032,17.595,23.796,21.321,19.023,17.916,19.753,19.496,19.688,17.493,19.795
"PROT116",19.584,20.122,16.978,21.302,22.527,19.502,20.53,19.904,20.559,18.803,17.821,19.449
"PROT117",19.212,20.177,17.806,18.027,19.988,19.013,20.17,23.513,23.799,23.232,24.245,19.043
"PROT118",18.165,21.635,23.22,17.82,18.823,19.507,24.975,16.691,17.247,21.088,21.128,18.519
"PROT119",15.889,20.185,18.101,21.93,20.57,23.412,18.002,20.7,17.466,20.952,16.924,18.808
"PROT120",20.559,20.151,22.517,20.224,19.815,19.504,17.398,18.23,19.492,19.598,21,21.215
"PROT121",16.633,19.859,21.188,17.131,21.167,16.722,18.733,18.919,19.204,20.739,18.211,17.16
"PROT122",23.033,19.393,20.606,16.31,21.148,17.752,18.472,17.284,19.11,23.022,17.673,19.627
"PROT123",19.748,23.333,20.004,21.602,15.665,23.179,19.651,20.448,16.166,16.119,15.986,18.665
"PROT124",20.181,18.421,20.182,20.086,17.811,18.442,17.288,21.733,14.047,20.34,22.36,23.842
"PROT125",19.87,18.661,21.353,22.16,20.146,18.046,18.792,19.803,19.228,15.231,20.497,21.459
"PROT126",22.037,15.963,20.815,17.716,14.784,21.051,21.961,17.506,20.306,20.3,14.401,18.642
"PROT127",21.084,17.206,17.528,22.244,19.51,18.979,21.139,23.476,20.861,19.926,21.783,22.328
"PROT128",19.696,18.649,20.152,18.618,16.909,23.083,20.478,20.328,19.957,18.937,21.491,21.155
"PROT129",22.816,21.454,21.747,18.207,21.148,19.609,20.814,19.793,19.508,16.694,18.731,19.852
"PROT130",22.026,19.435,20.18,17.581,21.078,22.378,17.964,15.894,19.249,18.736,16.842,19.378
"PROT131",20.304,19.781,20.542,20.285,16.242,19.689,18.922,17.139,20.054,19.894,15.092,18.376
"PROT132",17.88,19.281,19.322,17.737,20.635,17.503,21.389,21.974,21.444,22.735,23.984,22.974
"PROT133",22.514,18.334,23.043,22.214,18.792,20.862,22.117,18.213,20.514,20.172,21.472,17.888
"PROT134",21.471,19.739,16.319,19.423,26.098,16.039,23.418,20.099,18.672,17.035,19.986,20.643
"PROT135",19.26,19.775,18.622,21.023,17.922,19.318,17.572,20.029,18.173,17.349,21.511,20.645
"PROT136",20.465,22.172,22.951,20.47,20.049,15.112,23.357,17.862,22.013,20.682,19.019,19.503
"PROT137",17.191,21.185,18.158,18.602,20.614,21.364,16.799,21.737,20.548,24.484,21.553,20.85
"PROT138",21.706,20.493,21.741,17.458,17.428,23.299,20.865,20.868,17.546,19.336,17.02,21.398
"PROT139",16.313,18.838,23.787,19.369,20.567,19.926,24.268,18.703,16.782,24.252,22.155,23.749
"PROT140",21.496,16.988,18.34,17.351,16.081,20.864,19.501,20.571,23.254,19.033,17.87,18.899
"PROT141",19.768,21.055,20.525,17.268,20.735,20.122,19.468,17.4,21.468,19.547,19.829,22.204
"PROT142",20.695,17.368,23.015,20.61,23.352,22.927,22.184,21.032,17.212,20.286,20.004,19.003
"PROT143",18.355,18.389,20.305,19.447,21.785,16.943,17.531,22.248,21.123,21.944,21.605,22.176
"PROT144",20.832,19.804,21.588,22.226,21.689,15.089,18.864,17.479,22.585,24.371,21.093,20.541
"PROT145",21.818,22.979,15.641,21.955,17.695,20.875,19.541,18.045,22.216,21.507,22.406,21.811
"PROT146",19.233,22.676,24.457,16.835,20.56,21.779,22.523,23.253,21.367,21.023,23.253,18.816
"PROT147",19.048,19.022,16.425,22.024,14.685,17.446,16.623,19.388,17.044,18.785,19.167,22.961
"PROT148",20.048,23.121,19.333,22.492,19.995,20.219,19.266,18.719,19.417,21.123,19.52,22.334
"PROT149",18.696,24.85,17.609,20.767,19.175,20.097,21.58,20.522,19.161,18.094,19.979,16.858
"PROT150",19.061,19.574,21.304,17.377,19.987,17.866,20.32,20.86,20.477,18.884,20.859,22.224
"PROT151",23.986,20.415,22.388,20.938,19.023,19.66,19.346,18.483,22.443,20.064,18.969,23.77
"PROT152",19.346,20.106,23.566,22.595,17.044,18.436,20.364,16.246,21.348,17.385,19.224,19.259
"PROT153",17.507,22.282,17.908,19.022,20.228,19.508,18.089,20.985,19.154,22.475,18.361,19.546
"PROT154",15.479,16.611,23.841,20.736,20.051,20.201,19.694,21.63,20.015,20.454,16.927,18.075
"PROT155",18.656,19.04,20.643,23.026,19.971,18.809,17.476,20.495,22.154,17.65,23.255,19.424
"PROT156",18.64,19.401,18.623,22.346,19.801,20.675,21.015,15.758,19.546,16.467,19.247,16.703
"PROT157",19.223,22.486,21.79,19.629,20.352,21.383,20.65,20.825,21.518,19.353,19.498,17.925
"PROT158",17.68,21.195,22.287,23.456,17.823,21.04,22.404,22.581,19.188,21.507,23.116,24.489
"PROT159",20.934,18.093,17.305,19.725,17.04,20.525,17.933,21.788,21.808,23.059,24.579,23.76
"PROT160",15.232,19.347,17.273,17.952,18.913,22.682,17.574,21.539,20.416,21.19,17.707,18.05
"PROT161",21.704,23.28,20.322,19.215,19.721,17.068,20.08,21.742,23.338,20.162,21.758,20.329
"PROT162",20.259,18.985,20.93,21.444,21.815,20.775,21.135,19.925,24.815,19.764,19.571,24.235
"PROT163",22.641,20.418,19.321,21.8,20.468,23.017,21.525,15.869,18.169,20.587,21.025,22.71
"PROT164",21.27,23.635,18.733,22.341,16.531,19.886,22.079,16.923,20.75,18.801,20.608,18.366
"PROT165",23.256,20.712,22.358,22.293,19.216,19.053,19.773,21.018,21.893,20.807,21.927,23.808
"PROT166",20.252,20.29,23.275,20.32,18.87,19.539,19.609,23.74,20.138,17.954,17.301,19.158
"PROT167",20.771,17.877,19.691,20.485,21.812,18.048,23.684,18.679,17.781,22.948,19.356,23.376
"PROT168",17.167,20.965,22.079,19.614,19.803,16.961,21.365,17.487,18.465,18.932,20.928,18.019
"PROT169",19.596,22.506,18.888,20.319,21.889,17.736,21.963,21.177,23.016,23.472,24.049,22.641
"PROT170",16.962,20.355,19.179,23.442,21.256,23.465,18.377,21.717,20.835,15.157,17.706,17.805
"PROT171",22.138,19.521,21.415,16.707,17,22.913,21.988,21.203,18.589,20.52,16.651,18.352
"PROT172",19.999,18.696,20.37,23.029,22.881,20.273,16.656,16.273,16.477,21.619,17.82,19.747
"PROT173",15.559,19.659,20.11,19.424,19.206,14.945,19.389,17.953,19.407,21.112,19.286,20.488
"PROT174",20.856,22.097,17.566,19.385,22.459,17.322,18.799,20.585,21.953,20.346,18.749,23.198
"PROT175",20.583,20.266,20.243,21.896,20.873,16.154,22.876,16.403,21.651,15.137,17.136,17.701
"PROT176",21.338,22.606,18.583,18.071,21.21,15.667,19.307,19.585,17.916,20.329,16.073,15.497
"PROT177",24.58,21.847,18.357,21.58,20.829,19.964,19.232,18.473,22.064,21.706,23.503,17.228
"PROT178",20.592,19.156,23.252,20.387,17.705,17.551,18.548,21.937,19.298,21.982,19.929,20.155
"PROT179",22.502,18.753,17.584,20.395,21.396,15.264,18.2,17.066,17.98,16.552,16.491,18.906
"PROT180",19.658,20.514,18.924,19.035,21.551,20.446,21.021,17.753,19.147,20.354,18.727,17.307
"PROT181",19.204,20.867,15.926,21.514,17.955,20.99,16.871,18.384,20.884,18.158,23.743,21.25
"PROT182",21.24,17.735,18.177,21.76,17.925,18.219,19.756,19.545,16.292,19.663,22.594,20.322
"PROT183",21.837,18.252,18.674,18.844,22.327,23.731,25.038,22.65,23.98,21.202,20.555,22.756
"PROT184",18.413,20.152,21.908,19.47,21.619,19.804,19.111,23.423,22.8,18.958,22.957,20.751
"PROT185",22.511,16.109,19.128,21.529,23.428,19.205,18.258,19.666,22.762,20.993,22.563,19.206
"PROT186",18.275,19.463,22.359,21.341,20.467,19.581,21.203,16.98,16.679,21.385,20.885,20.842
"PROT187",19.131,21.865,23.544,16.405,23.946,19.308,19.208,24.367,15.413,18.626,18.525,19.288
"PROT188",20.407,18.199,19.345,20.275,18.36,20.011,17.158,20.62,19.059,19.239,14.847,16.53
"PROT189",20.395,18.906,19.977,16.882,23.144,16.395,23.452,19.826,20.524,20.796,19.926,22.185
"PROT190",20.479,22.58,19.012,21.62,19.452,20.105,20.383,24.753,19.913,19.004,17.547,18.064
"PROT191",19.157,19.17,22.087,20.213,19.129,20.178,21.43,18.822,17.64,21.334,16.938,19.775
"PROT192",18.583,18.538,19.632,19.305,19.129,23.516,17.863,20.441,18.664,19.785,21.108,18.748
"PROT193",19.665,17.537,17.903,20.586,17.918,18.027,20.233,19.602,23.057,18.764,16.491,18.126
"PROT194",19.305,21.314,19.668,19.221,19.131,20.909,19.553,19.199,23.341,18.215,19.054,23.47
"PROT195",20.555,19.297,20.86,21.654,19.231,19.976,25.883,24.296,19.513,22.104,20.055,23.261
"PROT196",20.13,20.59,16.815,21.124,19.501,19.34,18.445,21.394,18.203,20.731,17.505,22.58
"PROT197",21.5,19.35,21.094,16.794,18.923,20.901,21.582,21.214,18.455,21.151,18.95,19.468
"PROT198",18.872,20.066,22.058,22.461,20.834,23.284,15.791,17.271,17.937,18.147,20.581,16.165
"PROT199",19.512,21.121,19.202,22.2,23.008,17.361,20.615,17.831,16.019,18.197,21.597,17.968
"PROT200",22.91,17.461,19.551,21.359,17.575,21.549,22.376,17.562,19.526,20.412,17.236,21.247
